ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcjinghpaw,Jinghpaw,Eurasia,25.4634,97.3278,kach1280,,"Tibeto-Burman, Sal","Kachin State, Myanmar; India; People's Republic of China",Myitkyina
en,English,,,,stan1293,,,,
